Kellogs in a pizza box =)(c) celine jacinto 2010. all rights reserved.,6
This box has two spearmint plants in it and a chocolate mint plant which smells really awesome.,6
A birthday gift for a friend--a designer bag made from chocolate cake covered in chocolate fondant, with gold food coloring.,0
A birthday gift for a friend--a designer bag made from chocolate cake covered in chocolate fondant, with gold food coloring.,0
A birthday gift for a friend--a designer bag made from chocolate cake covered in chocolate fondant, with gold food coloring.,0
Michaela had a blast making pizza in the kitchen at the Phoenix Children's Museum.,6
enjoying a class of wine and chocolate cake at java monkey in decatur,6
Blue food dye dropped in water in a pint glass.  Blue food dye at the bottom alredy in glass,0
Blue food dye dropped in water in a pint glass.  Blue food dye at the bottom alredy in glass,0
45 pounds in the suitcase + 45 pounds in the bike box + 15 pounds in the carry on - food - water = trouble,0
The table setting for Seoul Garden: the soup pot in the middle for boiling food, and a hotplate around it for frying.,0
This was Lianne's pizza of choice, we ate them half and half. There is a plate under there ;),0
Pluto's dog house and food bowl in Mickey's backyard,6
So much food is collected that the monks have to empty their bowl into basket carried by boys.,0
People crowding the pizza pickup window in costco,6
Single tier male birthday cake, encased in dark chocolate panels with white drizzle effect and topped with truffels and chocolate shards.,4
Single tier male birthday cake, encased in dark chocolate panels with white drizzle effect and topped with truffels and chocolate shards.,4
Body is Chocolate Chip cookie cake with vanilla buttercream, head is pumpkin spice cake with caramel brown sugar buttercream, covered in chocolate choco-pan,0
This meerkat was on guard while the female was searching the grass below him for food.,6
playing with water and food colouring in a glass,6
Our godchild Neela(parents Seba&amp;amp;Minni), a year old cute little girl enjoying thai food in Espoo, Finland.,0
The first pizza in my new Forno Bravo Primavera pizza oven,6
The first pizza in my new Forno Bravo Primavera pizza oven,6
Enjoying a cup of white chocolate cocoa in the Market House.,6
Newborn size. Made in country 12ply. Dyed orange and yellow with food colouring. So simple and so cute.,6
Relaxing in one of the last paradiseon hearth: peace, sun, clear waters, sand and good food,0
the lineup. those chocolate ball things in the center of the table stole the show... oreo truffles. what a fucking mindfuck,0
Interior or on coast, many regions are within a few feet of their water table (drinking water and food supply),0
at the pizza place, where they don't look twice at a tiny dog in a bag,0
house warming party : food(confit byaldi and  braised chicken "poulet au vin") cooked by M (pasta dish by me),0
chocolate stall in the rock market,6
3 tier wedding cake covered in white fondant. All 3 tiers red velvet w/ raspberry preserves and chocolate ganache filling.,0
While in Islamorada we stopped at a small boat dock area where we saw this bird looking for food.,0
sitting in a booth at a pizza store (6),6
Found under the glass on a table at a local pizza place, put there by a true wordsmith and poet.,0
This is the only other window in my place.  The wall is chocolate brown.,6
This little guy keeps sneaking into the screened in porch and eating the cat food.    Disgusting animals,0
The boss left this pizza box in our fridge for almost a month. Fuzzy.,6
haha her water and food dishes in my room with a towel beneath since we got new carpet,0
Cactus in bloom at Kula Lodge ( next to the outdoor pizza oven ),2
prototype pacman in appropriately colored post it notes. yes that's the back of a pizza box,0
Baby next table in a hot pot restaurant at IDEE food court, Taichung,6
white chocolate cover sides from cake in luxembourg,6
Wichcrsft salad. Olive-oil poached shrimp. Decent for fast food under $10. But the plastic salad dressing cup is tacky.,0
mel and i rock our pajamas in the pizza bar.,6
Nothing like early nights, curled up in bed with a good book and a bit of chocolate!,5
I love these pizza delivery bikes, and the reflection I caught in the bus window,0
a can't be bothered evening after some house viewings all we could do was stick a pizza in the oven.,0
fish food for the monster trout in the pond  looked just like the food my dog eats!,0
fish food for the monster trout in the pond  looked just like the food my dog eats!,0
I thought it was cute that my cats wanted to play wih their toy mouse in their cat food.,0
The girl was in the truck from which they distribute the food. I shot the picture from the viewing deck through the truck!,0
&amp;quot;death by chocolate&amp;quot;  (i.e. the most chocolatey chocolate cake in the world) ... chocolate fondant, white chocolate ganache...,3
&amp;quot;death by chocolate&amp;quot;  (i.e. the most chocolatey chocolate cake in the world) ... chocolate fondant, white chocolate ganache...,3
